text,sentiment
"Awful, completely useless.",negative
Highly recommend to everyone.,positive
Worst experience ever.,negative
Top-notch service and product.,positive
Not worth the money.,negative
One star.,negative
Will never buy again.,negative
Amazing experience!,positive
Decent but not outstanding.,neutral
Will never buy again.,negative
Satisfactory but not impressive.,neutral
Very satisfied and happy.,positive
Five stars!,positive
Fantastic product and great service.,positive
"Bad quality, poor service.",negative
Decent but not outstanding.,neutral
Moderate satisfaction.,neutral
Exceeded my expectations.,positive
One star.,negative
Amazing experience!,positive
Moderate satisfaction.,neutral
One star.,negative
"Average product, average service.",neutral
Just fine for the price.,neutral
"Meets expectations, nothing more.",neutral
"Awful, completely useless.",negative
Highly recommend to everyone.,positive
"It's okay, nothing special.",neutral
Amazing experience!,positive
Highly recommend to everyone.,positive
"Terrible quality, very disappointed.",negative
Fantastic product and great service.,positive
"Meets expectations, nothing more.",neutral
"It's okay, nothing special.",neutral
"Superb quality, would buy again!",positive
"Meets expectations, nothing more.",neutral
Amazing experience!,positive
Fantastic product and great service.,positive
Worst experience ever.,negative
Moderate satisfaction.,neutral
Very dissatisfied with the purchase.,negative
"Awful, completely useless.",negative
Just fine for the price.,neutral
Extremely unhappy with the product.,negative
Not worth the money.,negative
Absolutely loved it!,positive
Not worth the money.,negative
Satisfactory but not impressive.,neutral
Five stars!,positive
Not worth the money.,negative
Exceeded my expectations.,positive
Amazing experience!,positive
Fantastic product and great service.,positive
Fantastic product and great service.,positive
Neither good nor bad.,neutral
Total waste of money.,negative
"Awful, completely useless.",negative
Total waste of money.,negative
Satisfactory but not impressive.,neutral
Absolutely loved it!,positive
Five stars!,positive
Fantastic product and great service.,positive
Very dissatisfied with the purchase.,negative
Acceptable quality.,neutral
Extremely unhappy with the product.,negative
Highly recommend to everyone.,positive
Satisfactory but not impressive.,neutral
Fantastic product and great service.,positive
"It's okay, nothing special.",neutral
"Awful, completely useless.",negative
Standard experience.,neutral
Absolutely loved it!,positive
Very satisfied and happy.,positive
Satisfactory but not impressive.,neutral
"It's okay, nothing special.",neutral
Couldn't be happier.,positive
Extremely unhappy with the product.,negative
"Meets expectations, nothing more.",neutral
Decent but not outstanding.,neutral
Fantastic product and great service.,positive
Couldn't be happier.,positive
Will never buy again.,negative
"Meets expectations, nothing more.",neutral
Decent but not outstanding.,neutral
Just fine for the price.,neutral
"Awful, completely useless.",negative
Very satisfied and happy.,positive
Worst experience ever.,negative
Will never buy again.,negative
"Terrible quality, very disappointed.",negative
Just fine for the price.,neutral
Exceeded my expectations.,positive
Acceptable quality.,neutral
Neither good nor bad.,neutral
Five stars!,positive
"Meets expectations, nothing more.",neutral
Just fine for the price.,neutral
Will never buy again.,negative
Moderate satisfaction.,neutral
Decent but not outstanding.,neutral
Five stars!,positive
Neither good nor bad.,neutral
Just fine for the price.,neutral
Couldn't be happier.,positive
"Bad quality, poor service.",negative
Very satisfied and happy.,positive
"Bad quality, poor service.",negative
Not worth the money.,negative
Acceptable quality.,neutral
Exceeded my expectations.,positive
Very satisfied and happy.,positive
Absolutely loved it!,positive
Moderate satisfaction.,neutral
Worst experience ever.,negative
Worst experience ever.,negative
Total waste of money.,negative
Worst experience ever.,negative
Top-notch service and product.,positive
"Awful, completely useless.",negative
Acceptable quality.,neutral
Not worth the money.,negative
Moderate satisfaction.,neutral
Very dissatisfied with the purchase.,negative
"Superb quality, would buy again!",positive
Five stars!,positive
Extremely unhappy with the product.,negative
Acceptable quality.,neutral
Will never buy again.,negative
Amazing experience!,positive
Very satisfied and happy.,positive
Absolutely loved it!,positive
Fantastic product and great service.,positive
Will never buy again.,negative
Acceptable quality.,neutral
One star.,negative
Not worth the money.,negative
Worst experience ever.,negative
Very dissatisfied with the purchase.,negative
Exceeded my expectations.,positive
Moderate satisfaction.,neutral
Fantastic product and great service.,positive
"It's okay, nothing special.",neutral
Extremely unhappy with the product.,negative
Moderate satisfaction.,neutral
"Meets expectations, nothing more.",neutral
Just fine for the price.,neutral
Will never buy again.,negative
Acceptable quality.,neutral
Decent but not outstanding.,neutral
"Superb quality, would buy again!",positive
Good value,positive
Not good but not worst,negative
Poor quality but acceptable,negative
Satisfactory performance,neutral
"Low quality, low price",negative
Acceptable even if not perfect,neutral
Broken but refunded fast,negative
"Low quality, low price",negative
"Low quality, low price",negative
Wouldn't buy again but not worst,negative
Happy with product though packaging was messy,positive
Almost perfect,positive
Hated the delivery but liked the box,negative
Pretty nice overall,positive
Loved it although pricey,positive
Happy with product though packaging was messy,positive
Satisfactory performance,neutral
Satisfactory performance,neutral
Met basic expectations,neutral
Wouldn't buy again but not worst,negative
Loved it!! but delivery was late,positive
Poor quality but acceptable,negative
Hated the delivery but liked the box,negative
Broken but refunded fast,negative
"Poor response, okay handling",negative
Will recommend despite small issues,positive
Neither too bad nor too good,neutral
Hated the delivery but liked the box,negative
Broken but refunded fast,negative
Almost perfect,positive
Bad but manageable,negative
Happy with product though packaging was messy,positive
Not good but not worst,negative
Will recommend despite small issues,positive
Broken but refunded fast,negative
Loved it!! but delivery was late,positive
Neither too bad nor too good,neutral
Dissatisfied somewhat,negative
Hated the delivery but liked the box,negative
Not much to say,neutral
"Good one, not the best",positive
Dissatisfied somewhat,negative
Poor quality but acceptable,negative
Moderate experience,neutral
Hated the delivery but liked the box,negative
Pretty nice overall,positive
Not much to say,neutral
Almost perfect,positive
"Poor response, okay handling",negative
Bad but manageable,negative
